status,date,time,type,operator,registration,msn,first_flight,engines,crew,passengers,total,aircraft_damage,aircraft_fate,location,phase,nature,departure_airport,destination_airport,flightnumber,link,total_airframe_hrs,cycles,ground_casualties,crash_site_elevation,collision_casualties,location_n,lat,lng,fatilities,nothing,occupants
Preliminary,1961-09-26,,Shijiazhuang Y-5,CAAC,18188, , ,,Fatalities: 5 / Occupants: 5,Fatalities: 10 / Occupants: 10, 15 /  15, Damaged beyond repair,,"Qinglongshan, Henan Province (   China) 
", En route (ENR),Passenger,?,?,,https://aviation-safety.net/database/record.php?id=19610926-0,,,,,,"Qinglongshan, Henan Province ",34.84459,113.1412,15,/,15
,1958-04-05,,Ilyushin Il-14,CAAC,632, , ,,Fatalities: 5 / Occupants: 5,Fatalities: 9 / Occupants: 9, 14 /  14, Damaged beyond repair,,70 km (43.8 mls) from  Xi'an (   China), En route (ENR),Domestic Scheduled Passenger,"Chengdu Airport (CTU/ZUUU), China","Beijing-Capital International Airport (PEK/ZBAA), China",,https://aviation-safety.net/database/record.php?id=19580405-0,,,,,,70 km (43.8 mls) from  Xi'an ,34.265814,108.954094,14,/,14
,1954-07-23,ca 09:00,Douglas C-54A-10-DC (DC-4),Cathay Pacific Airways, VR-HEU,10310,1944,,Fatalities: 2 / Occupants: 5,Fatalities: 8 / Occupants: 13, 10 /  18, Damaged beyond repair,,"off Hainan Island (   China) 
", En route (ENR),International Scheduled Passenger,"Bangkok-Don Muang International Airport (BKK/VTBD), Thailand","Hong Kong-Kai Tak International Airport (HKG/VHHH), Hong Kong",,https://aviation-safety.net/database/record.php?id=19540723-0,15279.0,,,,, Hainan Island ,20.01,110.34863,10,/,18
,1949-12-10,,Curtiss C-46D-20-CU Commando,Civil Air Transport,XT-814,22347,1945,,Fatalities: 5 / Occupants: 5,Fatalities: 12 / Occupants: 35, 17 /  40, Damaged beyond repair,,"Haikou (   China) 
", Unknown (UNK),Domestic Non Scheduled Passenger,"Chengdu Airport (CTU/ZUUU), China","Haikou Airport (HAK/ZGHK), China",,https://aviation-safety.net/database/record.php?id=19491210-0,,,,,,Haikou ,20.0372,110.34528,17,/,40
,1949-12-09,,Curtiss C-46D-20-CU Commando,Civil Air Transport,XT-820,22354,1945,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: , 38 /  38, Damaged beyond repair,,"near Lanzhou (   China) 
", Unknown (UNK),Passenger,?,?,,https://aviation-safety.net/database/record.php?id=19491209-0,,,,,, Lanzhou ,36.06996,103.75021,38,/,38
,1948-12-05,,Curtiss C-46 Commando,Central Air Transport,XT-538, , ,,Fatalities: 2 / Occupants: 3,Fatalities: 7 / Occupants: 37, 9 /  40, Damaged beyond repair,,"Kiangwan (   China) 
", Unknown (UNK),Domestic Scheduled Passenger,"Chengdu Airport (CTU/ZUUU), China","Shanghai (unknown airport), China",,https://aviation-safety.net/database/record.php?id=19481205-0,,,,,,Kiangwan ,31.66221,121.12112,9,/,40
,1948-07-29,,Curtiss C-46D-20-CU Commando,Civil Air Transport,XT-822,22355,1945,,Fatalities: 3 / Occupants: 3,Fatalities: 16 / Occupants: 16, 19 /  19, Damaged beyond repair,,"Qingdao Airport (TAO) (   China) 
", Initial climb (ICL),Domestic Scheduled Passenger,"Qingdao Airport (TAO/ZSQD), China","Jinan Airport (TNA/ZSTN), China",,https://aviation-safety.net/database/record.php?id=19480729-0,,,,,,Qingdao Airport (TAO) ,36.06623,120.38299,19,/,19
,1948-07-16,,Consolidated PBY-5A Catalina,Cathay Pacific Airways, VR-HDT, , ,,Fatalities: 3 / Occupants: 3,Fatalities: 22 / Occupants: 23, 25 /  26, Damaged beyond repair,,ca 6 km NE off Kau Chau Island (   China), En route (ENR),International Scheduled Passenger,"Porto Exterior Seaplane Base, Macau","Hong Kong-Kai Tak International Airport (HKG/VHHH), Hong Kong",,https://aviation-safety.net/database/record.php?id=19480716-0,,,,,,ca 6 km NE  Kau Chau Island ,22.36167,114.313343,25,/,26
,1948-01-20,,Curtiss C-46 Commando,China National Aviation Corporation - CNAC, registration unknown, , ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: , 11 /  54, Damaged beyond repair,,"Mukden Airport (SHE) (   China) 
", Takeoff (TOF),Domestic Non Scheduled Passenger,"Mukden Airport (SHE/ZYTK), China","Beijing-Nanyuan Airport (NAY/ZBNY), China",,https://aviation-safety.net/database/record.php?id=19480120-0,,,,,,Mukden Airport (SHE) ,41.804778,123.432968,11,/,54
,1947-01-28,,Curtiss C-46 Commando,China National Aviation Corporation - CNAC, registration unknown, , ,,Fatalities: 2 / Occupants: 2,Fatalities: 23 / Occupants: 24, 25 /  26, Damaged beyond repair,,"near Hankou (   China) 
", En route (ENR),Domestic Scheduled Passenger,"Hankou, China","Chongqing-Jiangbei International Airport (CKG/ZUCK), China",,https://aviation-safety.net/database/record.php?id=19470128-0,,,,,, Hankou ,23.46555,120.43304,25,/,26
,1947-01-25,,Douglas DC-3,China National Aviation Corporation - CNAC,138, , ,,Fatalities: 3 / Occupants: 3,Fatalities: 16 / Occupants: 16, 19 /  19, Damaged beyond repair,,190 km (118.8 mls) S of Chongqing (   China), En route (ENR),Domestic Scheduled Passenger,"Guangzhou-Baiyun Airport (CAN/ZGGG), China","Chongqing-Jiangbei International Airport (CKG/ZUCK), China",,https://aviation-safety.net/database/record.php?id=19470125-2,,,,,,190 km (118.8 mls) S of Chongqing ,28.08498,106.51181,19,/,19
,1947-01-05,,Curtiss C-46 Commando,China National Aviation Corporation - CNAC,XT-T51/121, , ,,Fatalities: 5 / Occupants: 5,Fatalities: 38 / Occupants: 38, 43 /  43, Destroyed, Written off (damaged beyond repair),"W of Qingdao (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Shanghai (unknown airport), China","Qingdao Airport (TAO/ZSQD), China",,https://aviation-safety.net/database/record.php?id=19470105-1,,,,,,W of Qingdao ,36.11049,120.35569,43,/,43
,1946-12-25,,Douglas C-47 (DC-3),Central Air Transport,48, , ,,Fatalities: 4 / Occupants: 4,Fatalities: 7 / Occupants: 7, 11 /  11, Damaged beyond repair,,3 km (1.9 mls) N of Shanghai-Jiangwan Airport (   China), Approach (APR),Domestic Scheduled Passenger,"Chongqing-Jiangbei International Airport (CKG/ZUCK), China","Shanghai-Jiangwan Airport, China",,https://aviation-safety.net/database/record.php?id=19461225-3,,,Fatalities: 1,,,3 km (1.9 mls) N of Shanghai-Jiangwan Airport ,31.66221,121.33268,11,/,11
,1946-12-25,ca 22:00,Curtiss C-46 Commando,China National Aviation Corporation - CNAC,115, , ,,Fatalities: 1 / Occupants: 3,Fatalities: 30 / Occupants: 33, 31 /  36, Damaged beyond repair,,"Shanghai-Longhua Airport (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Chongqing-Jiangbei International Airport (CKG/ZUCK), China","Shanghai/Longhua (ZSSL), China",,https://aviation-safety.net/database/record.php?id=19461225-1,,,,,,Shanghai-Longhua Airport ,31.166504,121.455295,31,/,36
,1946-12-25,ca 20:00,Douglas C-47 (DC-3),China National Aviation Corporation - CNAC,140, , ,,Fatalities: 2 / Occupants: 3,Fatalities: 17 / Occupants: 27, 19 /  30, Damaged beyond repair,,"Shanghai-Jiangwan Airport (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Chongqing-Jiangbei International Airport (CKG/ZUCK), China","Shanghai-Jiangwan Airport, China",,https://aviation-safety.net/database/record.php?id=19461225-0,,,,,,Shanghai-Jiangwan Airport ,31.66221,121.33268,19,/,30
,1946-09-20,,unknown,China National Aviation Corporation - CNAC, registration unknown, , ,,Fatalities: 3 / Occupants: 3,Fatalities: 28 / Occupants: 28, 31 /  31, Damaged beyond repair,,"near Xichang, Sichuan Province (   China) 
", En route (ENR),Passenger,"Xichang Airport (XIC/ZUXC), China",?,,https://aviation-safety.net/database/record.php?id=19460920-0,,,,,," Xichang, Sichuan Province ",27.89449,102.26305,31,/,31
